"","skclnt","skitem","buyer_num","buyer_name","po_number","ndc","item_description","vendor_number","vendor_name","ship_point","sub_group","actual_leadtime","order_date","receipt_date","sku_lt_orderdate","relationship_lt_orderdate","realtionship_lt_today","order_qty","total_receipt_qty","purchasing_team","orderdate_aa_code","bypass_lt","gen_nam","card_gcn_id","card_gen_ind_desc","ahfs_desc","fin_flag","fin_flag_gcn","source_type","nlc_type_desc","accunet","card_sbst_key_id","pack_qty","cvs_formulary_a_b_d","cvs_segment","sku","snapshot_date","skfcst","skappc"
"1","064D","5026356","634","CHRISTOPHER PELT","0370537","43386011801","HCOD/HOMA 5-1.5MG 100 C2","04901","LUPIN PHARMA INC CS NCBNET","KY","OPIOID",2,2021-06-07,2021-06-09,3.59,7,7,48,48,"Generics","979","Y","HYDROCOD/HOMATROPINE","96041","GENERIC DRUG","ANTITUSSIVES",NA,"yes","GENERIC DRUG","CENTRALIZED",100,"96041001",1,"SECONDARY, SECONDARY, SECONDARY","C2, C2, C2","5026356064D",2021-11-01,36.29,77.45
"2","064D","3526613","628","JEANNINE ROGERS","4437356","60951070070","ENDOCET 7.5-325MG 100 C2","02546","PAR PHARM CS","TN","OPIOID",10,2021-10-11,2021-10-21,3.91,3,3,24,24,"Generics","0","N","OXYCODONE/ACETAMIN","14965","GENERIC DRUG","OPIATE AGONISTS",NA,"yes","SOURCE B - IN SCOPE","CENTRALIZED",100,"14965000",1,NA,"C2, C2, C2","3526613064D",2021-11-01,9.12,108.86
"3","008D","5579966","627","LISA POSTON","4411934","76385013301","NADOLOL 20MG 100","10830","BAYSHORE PHARMACEUTICAL LLC CS","","",2,2021-09-27,2021-09-29,2.13,7,7,24,24,"Generics","0","N","NADOLOL","20654","GENERIC DRUG","BETA-ADRENERGIC BLOCKING AGENTS","2","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",100,"20654001",1,NA,"WH, WH, WH","5579966008D",2021-11-01,28.89,83
"4","006D","5250329","699","NO BUYER ASSIGNED","4261655","69315013801","BENZTROPINE MESYLATE 2MG 100","11002","LEADING PHARMA LLC CS NCB","","",3,2021-06-28,2021-07-01,3.95,9,1,72,72,"MISC","998","Y","BENZTROPINE MESYLATE","17622","GENERIC DRUG","ANTICHOLINERGIC AGENTS (CNS)","4","yes","SOURCE A - IN SCOPE","CENTRALIZED",100,"17622003",1,NA,"WH, WH, WH","5250329006D",2021-11-01,41.79,20.5
"5","064D","4530648","622","ESMERALDA TUSSING","4414105","58980096012","SONAFINE EMULSION 45GM TOP","02613","STRATUS PHARM CS","","",3,2021-09-27,2021-09-30,7.87,7,7,24,24,"Generics","0","N","WOUND CARE EMOLLIENT/CLEANSERS","26264","GENERIC DRUG","DEVICES","4","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",45,"26264002",1,NA,NA,"4530648064D",2021-11-01,12.98,21.75
"6","064D","4530648","622","ESMERALDA TUSSING","0368162","58980096012","SONAFINE EMULSION 45GM TOP","02613","STRATUS PHARM CS","","",10,2021-05-03,2021-05-13,4.78,7,7,12,12,"Generics","0","N","WOUND CARE EMOLLIENT/CLEANSERS","26264","GENERIC DRUG","DEVICES","4","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",45,"26264002",1,NA,NA,"4530648064D",2021-11-01,12.98,21.75
"7","064D","5305743","627","LISA POSTON","0373319","65162011550","HYDROCOD/AP 7.5-325MG 500 C2","04511","AMNEAL PHARMACEUTICALS LLC CS","KY","OPIOID",3,2021-07-19,2021-07-22,2.98,3,2,24,24,"Generics","0","N","HYDROCOD/ACETAMIN","12488","GENERIC DRUG","OPIATE AGONISTS","4","yes","SOURCE A - IN SCOPE","CENTRALIZED",500,"12488003",1,NA,"C2, C2, C2","5305743064D",2021-11-01,13.74,60
"8","064D","5581442","625","JEFF MEGYESI","0374449","69367022918","SELENIUM SULFIDE 2.25% 180ML","11012","WESTMINSTER PHARMACEUTICALS CS","","",6,2021-08-03,2021-08-09,4,6,4,7,7,"Generics","0","N","SELENIUM SULFIDE","23824","GENERIC DRUG","LOCAL ANTI-INFECTIVES, MISCELLANEOUS","2","yes","SOURCE B - IN SCOPE","NOT CENTRALIZED",180,"23824000",1,NA,"OV, OV, OV","5581442064D",2021-11-01,1.87,109.95
"9","064D","5007448","634","CHRISTOPHER PELT","0369635","68180069806","TRAMADOL HCL 200MG 30 ER C4","04901","LUPIN PHARMA INC CS NCBNET","","OPIOID",4,2021-05-24,2021-05-28,7,7,7,48,48,"Generics","0","Y","TRAMADOL HCL","50417","GENERIC DRUG","OPIATE AGONISTS","2","yes","SOURCE A - IN SCOPE","CENTRALIZED",30,"50417002",1,"PRIMARY, PRIMARY, PRIMARY","WH, , WH","5007448064D",2021-11-01,31.81,133.74
"10","026D","4278222","628","JEANNINE ROGERS","4277848","00548560400","ENOXAPARIN 80MG/0.8ML 10X0.8ML","57304","AMPHASTAR PHARMA INC CS","","",6,2021-07-06,2021-07-12,6.31,6,5,20,20,"Generics","0","N","ENOXAPARIN SODIUM","62772","GENERIC DRUG","ANTICOAGULANTS, MISCELLANEOUS","4","yes","SOURCE B - IN SCOPE","NOT CENTRALIZED",8,"62772004",10,NA,"WH, WH, WH","4278222026D",2021-11-01,20.16,120
